Date,Title ,URL,Body,Location,Likes,Comment,Username
5/13/2023,@Kharisa berbeda ituech keren yach #madrasah ... - TikTok,https://www.tiktok.com/@lujenazzahr/video/7239157772879678725,"8.3K Likes, 118 Comments. TikTok video from jena ??° (@lujenazzahr): ""@Kharisa berbeda ituech keren yach #madrasah",Surabaya,8380,118,@lujenazzahr
4/3/2023,Tes Calistung Dihapus dalam seleksi Masuk SD Nadiem,https://www.tiktok.com/@nusabali.com/video/7217759641416125722,riset dan teknologi atau mendikbud ristek. nadiem Anwar makarim. meminta sekolah dasar atau madrasah ibtidaiyah. menghilangkan Tes baca. tulis da,Jakarta,15,0,@nusabali.com
3/17/2023,"Mencoba jajanan sekolah lagi nih gaes, kali ini di depan ...",https://www.tiktok.com/@infopalu/video/7211379468546346267,"2.5K Likes, 65 Comments. TikTok video from Info Palu (@infopalu): ""Mencoba jajanan sekolah lagi nih gaes, kali ini di depan Madrasah Aliyah Negeri",Palu,2521,66,@infopalu
3/9/2023,"Pesulap MAN 1 Magetan, sukses selalu ?? - #xiiips2 - TikTok",https://www.tiktok.com/@man1magetanofficial/video/7208572941607390491,"... ""Pesulap MAN 1 Magetan, sukses selalu ?? #xiiips2 #sulap #man1magetan #gelarkarya #CapCut #fyp? #magetanbanget #madrasah",Magetan,71,0,@man1magetanofficial
1/29/2023,Aksi heroik salah satu guru MTsN 1 Sintang ketika ... - TikTok,https://www.tiktok.com/@mtsn1sintang/video/7194260865267354907,"#bendera #flag #indonesia #indonesia #paskibra #guruhebat #madrasah #madrasahhebatbermartabat #fyp?"". Berkibarlah Bendera Negeriku -",Sintang,321500,1240,@mtsn1sintang
1/14/2023,Al Quran Al Madrasah Terjemah ingsa Alloh barokah ... - TikTok,https://www.tiktok.com/@farpumdevpandi01/video/7188481467947765018?_t=8ZaHsscyGSw&_r=1,"2.3K Likes, TikTok video from devpandi01 (@farpumdevpandi01): ""Al Quran Al Madrasah Terjemah ingsa Alloh barokah duniaa akhirat #fyp?"". suara asli",Jakarta,2298,10,@farpumdevpandi01
12/26/2022,koperasi santri - suara asli - Madrasah Digital - TikTok,https://www.tiktok.com/music/suara-asli-Madrasah-Digital-7181700891693697819,Lagu suara asli - Madrasah Digital ciptaan koperasi santri. Tonton video terbaru tentang suara asli - Madrasah Digital di TikTok.,Kediri,8360,31,@madrasah_digital
12/11/2022,Terheboh #madrasah #sekolah #mts #mtsyppacipulus ...,https://www.tiktok.com/@mtsyppacipulus/video/7176117667248524571,"588 Likes, TikTok video from MTs YPPA CIPULUS (@mtsyppacipulus): ""Terheboh #madrasah #sekolah #mts #mtsyppacipulus #madrasahhebat",Purwakarta,587,12,@mtsyppacipulus
11/25/2022,#CapCut aku anak madrasah | TikTok,https://www.tiktok.com/@user1541620225955/video/7218811488117509403,"12.4K Likes, 3.6K Comments. TikTok video from Ara lucu Lulu ?? (@user1541620225955): ""#CapCut aku anak madrasah"". suara asli - Ara",,12400,3548,@user1541620225955
10/8/2022,Yuk sore ini kita belajar vocabulary bareng dengan ... - TikTok,https://www.tiktok.com/@pesantrenmrbob/video/7152068128460131611,.. #pendaftaransantribaru #santribaru #english #hafidz #hafidzquran #sekolahfavorit #santri #madiun #madiunhits #kebonsari #medhioenae,Madiun,9,0,@pesantrenmrbob
9/5/2022,#mtsn1 #bandarlampung #madrasah #mtsn | TikTok,https://www.tiktok.com/@winarnog70/video/7096763419088538906,"73 Likes, TikTok video from Winarno Abdullah (@winarnog70): ""#mtsn1 #bandarlampung #madrasah #mtsn"". Sholawat - My Arimbi.",Lampung,73,0,@winarnog70
9/6/2022,outfit #seragamsekolah #mtsn1sintang #madrasah ... - TikTok,https://www.tiktok.com/@mtsn1sintang/video/7140201102913359130,"653 Likes, 20 Comments. TikTok video from MTsN 1 Sintang (@mtsn1sintang): ""#outfit #seragamsekolah #mtsn1sintang #madrasah",Sintang,653,20,@mtsn1sintang
