Date,Keyword,Total Search
2/2/2020,UIN: (Indonesia),67
2/9/2020,UIN: (Indonesia),50
2/16/2020,UIN: (Indonesia),43
2/23/2020,UIN: (Indonesia),37
3/1/2020,UIN: (Indonesia),29
3/8/2020,UIN: (Indonesia),27
3/15/2020,UIN: (Indonesia),21
3/22/2020,UIN: (Indonesia),18
3/29/2020,UIN: (Indonesia),20
4/5/2020,UIN: (Indonesia),35
4/12/2020,UIN: (Indonesia),27
4/19/2020,UIN: (Indonesia),25
4/26/2020,UIN: (Indonesia),28
5/3/2020,UIN: (Indonesia),28
5/10/2020,UIN: (Indonesia),25
5/17/2020,UIN: (Indonesia),25
5/24/2020,UIN: (Indonesia),25
5/31/2020,UIN: (Indonesia),40
6/7/2020,UIN: (Indonesia),39
6/14/2020,UIN: (Indonesia),39
6/21/2020,UIN: (Indonesia),37
6/28/2020,UIN: (Indonesia),44
7/5/2020,UIN: (Indonesia),42
7/12/2020,UIN: (Indonesia),40
7/19/2020,UIN: (Indonesia),37
7/26/2020,UIN: (Indonesia),59
8/2/2020,UIN: (Indonesia),37
8/9/2020,UIN: (Indonesia),44
8/16/2020,UIN: (Indonesia),44
