Date,Query,Total Postingan,Site
2020-08,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",854,Instagram
2020-09,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",408,Instagram
2020-10,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",630,Instagram
2020-11,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",632,Instagram
2020-12,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",561,Instagram
2021-01,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",263,Instagram
2021-02,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",579,Instagram
2021-03,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",626,Instagram
2021-04,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",303,Instagram
2021-05,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",609,Instagram
2021-06,"""UIN"" OR ""Universitas Islam Negeri"" OR ""IAIN"" OR ""Institut Agama Islam Negeri"" OR ""PTKI"" OR ""Perguruan Tinggi Keagamaan Islam"" OR ""PTKIN"" OR ""Perguruan Tinggi Keagamaan Islam Negeri""",545,Instagram
